Domain,Job Role,Summary/Objective,Hard Skills,Soft Skills,Action Verbs,Tailored Title
Executive & Leadership,Chief Technology Officer (CTO),Strategic leader with proven experience in Technology Strategy and driving cross-functional teams to achieve organizational objectives.,"Technology Strategy, Cloud Strategy, Vendor Management, Enterprise Architecture, Budgeting","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",Chief Technology Officer (CTO) | Executive & Leadership
Executive & Leadership,Chief Information Officer (CIO),Strategic leader with proven experience in Technology Strategy and driving cross-functional teams to achieve organizational objectives.,"Technology Strategy, Cloud Strategy, Vendor Management, Enterprise Architecture, Budgeting","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",Chief Information Officer (CIO) | Executive & Leadership
Executive & Leadership,Chief Information Security Officer (CISO),Strategic leader with proven experience in Penetration Testing and driving cross-functional teams to achieve organizational objectives.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",Chief Information Security Officer (CISO) | Executive & Leadership
Executive & Leadership,Chief Data Officer (CDO),Strategic leader with proven experience in Python and driving cross-functional teams to achieve organizational objectives.,"Python, Pandas, NumPy, SQL, TensorFlow, PyTorch, Scikit-learn, Data Modeling","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",Chief Data Officer (CDO) | Executive & Leadership
Executive & Leadership,Chief AI Officer (CAIO),Strategic leader with proven experience in Technology Strategy and driving cross-functional teams to achieve organizational objectives.,"Technology Strategy, Cloud Strategy, Vendor Management, Enterprise Architecture, Budgeting","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",Chief AI Officer (CAIO) | Executive & Leadership
Executive & Leadership,Chief Digital Officer (Digital Transformation),Strategic leader with proven experience in Technology Strategy and driving cross-functional teams to achieve organizational objectives.,"Technology Strategy, Cloud Strategy, Vendor Management, Enterprise Architecture, Budgeting","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",Chief Digital Officer (Digital Transformation) | Executive & Leadership
Executive & Leadership,VP / Director of Engineering,Strategic leader with proven experience in Technology Strategy and driving cross-functional teams to achieve organizational objectives.,"Technology Strategy, Cloud Strategy, Vendor Management, Enterprise Architecture, Budgeting","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",VP / Director of Engineering | Executive & Leadership
Executive & Leadership,VP / Director of IT Infrastructure,Strategic leader with proven experience in Technology Strategy and driving cross-functional teams to achieve organizational objectives.,"Technology Strategy, Cloud Strategy, Vendor Management, Enterprise Architecture, Budgeting","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",VP / Director of IT Infrastructure | Executive & Leadership
Executive & Leadership,VP / Director of Product / Data / Cloud,Strategic leader with proven experience in Python and driving cross-functional teams to achieve organizational objectives.,"Python, Pandas, NumPy, SQL, TensorFlow, PyTorch, Scikit-learn, Data Modeling","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",VP / Director of Product / Data / Cloud | Executive & Leadership
Executive & Leadership,Head of Innovation / Head of Automation,Strategic leader with proven experience in Technology Strategy and driving cross-functional teams to achieve organizational objectives.,"Technology Strategy, Cloud Strategy, Vendor Management, Enterprise Architecture, Budgeting","Leadership, Strategic Thinking, Stakeholder Management, Decision Making, Communication","Spearheaded, Directed, Oversaw, Aligned, Transformed",Head of Innovation / Head of Automation | Executive & Leadership
Software Engineering & Development,Software Engineer / Developer,Experienced Software Engineer / Developer with strong background in Java and proven ability to deliver results aligned with business goals.,"Java, Python, Git, REST APIs, SQL, Docker, Kubernetes, Unit Testing, OOP","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Software Engineer / Developer | Software Engineering & Development
Software Engineering & Development,Backend Developer,Experienced Backend Developer with strong background in Java and proven ability to deliver results aligned with business goals.,"Java, Spring Boot, REST APIs, SQL, PostgreSQL, Hibernate, Docker, Microservices","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Backend Developer | Software Engineering & Development
Software Engineering & Development,Frontend Developer,Experienced Frontend Developer with strong background in HTML5 and proven ability to deliver results aligned with business goals.,"HTML5, CSS3, JavaScript, React, TypeScript, Web Accessibility, Responsive Design","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Frontend Developer | Software Engineering & Development
Software Engineering & Development,Full Stack Developer,Experienced Full Stack Developer with strong background in JavaScript and proven ability to deliver results aligned with business goals.,"JavaScript, Node.js, React, MongoDB, REST APIs, Docker, CI/CD","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Full Stack Developer | Software Engineering & Development
Software Engineering & Development,Web Developer,Experienced Web Developer with strong background in HTML5 and proven ability to deliver results aligned with business goals.,"HTML5, CSS3, JavaScript, React, TypeScript, Web Accessibility, Responsive Design","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Web Developer | Software Engineering & Development
Software Engineering & Development,Mobile App Developer (Android),Experienced Mobile App Developer (Android) with strong background in Kotlin and proven ability to deliver results aligned with business goals.,"Kotlin, Android SDK, Jetpack Compose, REST APIs, Firebase, Gradle","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Mobile App Developer (Android) | Software Engineering & Development
Software Engineering & Development,Mobile App Developer (iOS),Experienced Mobile App Developer (iOS) with strong background in Swift and proven ability to deliver results aligned with business goals.,"Swift, iOS SDK, SwiftUI, REST APIs, Core Data, Xcode","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Mobile App Developer (iOS) | Software Engineering & Development
Software Engineering & Development,Mobile App Developer (Flutter / React Native),Experienced Mobile App Developer (Flutter / React Native) with strong background in Flutter/Dart and proven ability to deliver results aligned with business goals.,"Flutter/Dart, React Native, Cross-Platform Development, REST APIs, CI/CD","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Mobile App Developer (Flutter / React Native) | Software Engineering & Development
Software Engineering & Development,Game Developer / Unity Developer,Experienced Game Developer / Unity Developer with strong background in Unity and proven ability to deliver results aligned with business goals.,"Unity, C#, Game Physics, Shader Programming, Performance Profiling","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Game Developer / Unity Developer | Software Engineering & Development
Software Engineering & Development,Embedded Systems Engineer,Experienced Embedded Systems Engineer with strong background in C/C++ and proven ability to deliver results aligned with business goals.,"C/C++, Embedded Linux, RTOS, Device Drivers, Firmware Debugging, JTAG","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Embedded Systems Engineer | Software Engineering & Development
Software Engineering & Development,Firmware Engineer,Experienced Firmware Engineer with strong background in C/C++ and proven ability to deliver results aligned with business goals.,"C/C++, Embedded Linux, RTOS, Device Drivers, Firmware Debugging, JTAG","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Firmware Engineer | Software Engineering & Development
Software Engineering & Development,API Developer,Experienced API Developer with strong background in REST API Design and proven ability to deliver results aligned with business goals.,"REST API Design, OpenAPI/Swagger, OAuth2, SDK Development, Versioning, Documentation","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",API Developer | Software Engineering & Development
Software Engineering & Development,UI Developer,Experienced UI Developer with strong background in HTML5 and proven ability to deliver results aligned with business goals.,"HTML5, CSS3, JavaScript, React, TypeScript, Web Accessibility, Responsive Design","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",UI Developer | Software Engineering & Development
Software Engineering & Development,Integration Engineer,Experienced Integration Engineer with strong background in Java and proven ability to deliver results aligned with business goals.,"Java, Python, Git, REST APIs, SQL, Docker, Kubernetes, Unit Testing, OOP","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Integration Engineer | Software Engineering & Development
Software Engineering & Development,SDK Developer,Experienced SDK Developer with strong background in REST API Design and proven ability to deliver results aligned with business goals.,"REST API Design, OpenAPI/Swagger, OAuth2, SDK Development, Versioning, Documentation","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",SDK Developer | Software Engineering & Development
Software Engineering & Development,"ERP Developer (SAP, Oracle, Dynamics)","Experienced ERP Developer (SAP, Oracle, Dynamics) with strong background in SAP (ABAP) and proven ability to deliver results aligned with business goals.","SAP (ABAP), Oracle EBS, Dynamics, Salesforce, Integration, Customization","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized","ERP Developer (SAP, Oracle, Dynamics) | Software Engineering & Development"
Software Engineering & Development,Middleware Developer,Experienced Middleware Developer with strong background in Java and proven ability to deliver results aligned with business goals.,"Java, Python, Git, REST APIs, SQL, Docker, Kubernetes, Unit Testing, OOP","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",Middleware Developer | Software Engineering & Development
Software Engineering & Development,RPA Developer (Automation Anywhere / UiPath / Blue Prism),Experienced RPA Developer (Automation Anywhere / UiPath / Blue Prism) with strong background in UiPath and proven ability to deliver results aligned with business goals.,"UiPath, Automation Anywhere, Blue Prism, Workflow Automation, Scripting","Problem Solving, Team Collaboration, Communication, Attention to Detail, Adaptability","Developed, Implemented, Tested, Debugged, Optimized",RPA Developer (Automation Anywhere / UiPath / Blue Prism) | Software Engineering & Development
Architecture & Strategy,Solution Architect,Experienced Solution Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Solution Architect | Architecture & Strategy
Architecture & Strategy,Enterprise Architect,Experienced Enterprise Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Enterprise Architect | Architecture & Strategy
Architecture & Strategy,Software Architect,Experienced Software Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Software Architect | Architecture & Strategy
Architecture & Strategy,Cloud Architect,Experienced Cloud Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Cloud Architect | Architecture & Strategy
Architecture & Strategy,Data Architect,Experienced Data Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Data Architect | Architecture & Strategy
Architecture & Strategy,Network Architect,Experienced Network Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Network Architect | Architecture & Strategy
Architecture & Strategy,Security Architect,Experienced Security Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Security Architect | Architecture & Strategy
Architecture & Strategy,Application Architect,Experienced Application Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Application Architect | Architecture & Strategy
Architecture & Strategy,Infrastructure Architect,Experienced Infrastructure Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Infrastructure Architect | Architecture & Strategy
Architecture & Strategy,Integration Architect,Experienced Integration Architect with strong background in System Design and proven ability to deliver results aligned with business goals.,"System Design, Microservices, Cloud Architecture, Integration Patterns, Scalability","Analytical Thinking, Communication, Mentorship, Problem Solving, Planning","Architected, Designed, Evaluated, Standardized, Implemented",Integration Architect | Architecture & Strategy
"DevOps, Automation & Reliability",DevOps Engineer,Experienced DevOps Engineer with strong background in Jenkins and proven ability to deliver results aligned with business goals.,"Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Ansible, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","DevOps Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Site Reliability Engineer (SRE),Experienced Site Reliability Engineer (SRE) with strong background in Prometheus and proven ability to deliver results aligned with business goals.,"Prometheus, Grafana, SLIs/SLOs, Incident Response, Automation, Distributed Systems","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Site Reliability Engineer (SRE) | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Build & Release Engineer,Experienced Build & Release Engineer with strong background in Jenkins and proven ability to deliver results aligned with business goals.,"Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Ansible, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Build & Release Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",CI/CD Pipeline Engineer,Experienced CI/CD Pipeline Engineer with strong background in Jenkins and proven ability to deliver results aligned with business goals.,"Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Ansible, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","CI/CD Pipeline Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Automation Engineer,Experienced Automation Engineer with strong background in CI/CD and proven ability to deliver results aligned with business goals.,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Automation Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Platform Engineer,Experienced Platform Engineer with strong background in CI/CD and proven ability to deliver results aligned with business goals.,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Platform Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Systems Reliability Manager,Experienced Systems Reliability Manager with strong background in Prometheus and proven ability to deliver results aligned with business goals.,"Prometheus, Grafana, SLIs/SLOs, Incident Response, Automation, Distributed Systems","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Systems Reliability Manager | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Infrastructure as Code (IaC) Engineer,Experienced Infrastructure as Code (IaC) Engineer with strong background in CI/CD and proven ability to deliver results aligned with business goals.,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Infrastructure as Code (IaC) Engineer | DevOps, Automation & Reliability"
"DevOps, Automation & Reliability",Containerization Specialist (Docker / Kubernetes Expert),Experienced Containerization Specialist (Docker / Kubernetes Expert) with strong background in CI/CD and proven ability to deliver results aligned with business goals.,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes, Terraform, Monitoring","Automation, Collaboration, Process Orientation, Troubleshooting","Automated, Deployed, Monitored, Streamlined, Integrated","Containerization Specialist (Docker / Kubernetes Expert) | DevOps, Automation & Reliability"
Cloud & Infrastructure,Cloud Engineer (AWS / Azure / GCP),Experienced Cloud Engineer (AWS / Azure / GCP) with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Serverless, IAM, Cloud Networking","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Engineer (AWS / Azure / GCP) | Cloud & Infrastructure
Cloud & Infrastructure,Cloud Administrator,Experienced Cloud Administrator with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Cloud Operations Engineer,Experienced Cloud Operations Engineer with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Serverless, IAM, Cloud Networking","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Operations Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Cloud Support Associate,Experienced Cloud Support Associate with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Cloud Support Associate | Cloud & Infrastructure
Cloud & Infrastructure,Virtualization Engineer (VMware / Hyper-V),Experienced Virtualization Engineer (VMware / Hyper-V) with strong background in VMware and proven ability to deliver results aligned with business goals.,"VMware, Hyper-V, vSphere, SAN, Storage, Virtualization Troubleshooting","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Virtualization Engineer (VMware / Hyper-V) | Cloud & Infrastructure
Cloud & Infrastructure,Systems Administrator,Experienced Systems Administrator with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Systems Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Systems Engineer,Experienced Systems Engineer with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Systems Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Network Engineer,Experienced Network Engineer with strong background in TCP/IP and proven ability to deliver results aligned with business goals.,"TCP/IP, BGP, OSPF, Cisco IOS, Switching, Routing, Network Monitoring","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Network Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Network Administrator,Experienced Network Administrator with strong background in TCP/IP and proven ability to deliver results aligned with business goals.,"TCP/IP, BGP, OSPF, Cisco IOS, Switching, Routing, Network Monitoring","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Network Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Network Operations Center (NOC) Engineer,Experienced Network Operations Center (NOC) Engineer with strong background in TCP/IP and proven ability to deliver results aligned with business goals.,"TCP/IP, BGP, OSPF, Cisco IOS, Switching, Routing, Network Monitoring","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Network Operations Center (NOC) Engineer | Cloud & Infrastructure
Cloud & Infrastructure,Storage Administrator,Experienced Storage Administrator with strong background in SAN and proven ability to deliver results aligned with business goals.,"SAN, NAS, Backup Strategies, Replication, Data Protection, DR Planning","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Storage Administrator | Cloud & Infrastructure
Cloud & Infrastructure,Backup & Recovery Specialist,Experienced Backup & Recovery Specialist with strong background in SAN and proven ability to deliver results aligned with business goals.,"SAN, NAS, Backup Strategies, Replication, Data Protection, DR Planning","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Backup & Recovery Specialist | Cloud & Infrastructure
Cloud & Infrastructure,Linux / Windows Administrator,Experienced Linux / Windows Administrator with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",Linux / Windows Administrator | Cloud & Infrastructure
Cloud & Infrastructure,IT Infrastructure Manager,Experienced IT Infrastructure Manager with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",IT Infrastructure Manager | Cloud & Infrastructure
Cloud & Infrastructure,IT Operations Manager,Experienced IT Operations Manager with strong background in AWS and proven ability to deliver results aligned with business goals.,"AWS, Azure, GCP, Terraform, Linux, Networking, Virtualization, IAM","Troubleshooting, Operational Excellence, Time Management, Communication","Deployed, Managed, Configured, Optimized, Secured",IT Operations Manager | Cloud & Infrastructure
Cybersecurity & Risk,Cybersecurity Analyst,Experienced Cybersecurity Analyst with strong background in SIEM and proven ability to deliver results aligned with business goals.,"SIEM, IDS/IPS, Penetration Testing, Vulnerability Assessment, IAM, Encryption","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Cybersecurity Analyst | Cybersecurity & Risk
Cybersecurity & Risk,Information Security Engineer,Experienced Information Security Engineer with strong background in Penetration Testing and proven ability to deliver results aligned with business goals.,"Penetration Testing, Burp Suite, Metasploit, YARA, Reverse Engineering, SIEM","Attention to Detail, Integrity, Analytical Thinking, Crisis Management","Monitored, Tested, Hardened, Mitigated, Responded",Information Security Engineer | Cybersecurity & Risk
