Domain,Job Role,Technical Skills,Soft Skills,ATS Keywords,Common Tools,Project Ideas,Career Level
Software Development,Junior Software Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Decision Making, Attention to Detail, Leadership, Adaptability, Analytical Thinking","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Junior
Software Development,Software Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Teamwork, Communication, Attention to Detail, Collaboration, Leadership","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Mid-Level
Software Development,Senior Software Engineer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Decision Making, Teamwork, Leadership, Attention to Detail, Collaboration","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Senior
Software Development,Full Stack Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Adaptability, Problem Solving, Time Management, Communication, Analytical Thinking","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Mid-Level
Software Development,Frontend Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Collaboration, Problem Solving, Analytical Thinking, Attention to Detail, Adaptability","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Mid-Level
Software Development,Backend Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Adaptability, Problem Solving, Attention to Detail, Decision Making, Teamwork","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Mid-Level
Software Development,Web Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Attention to Detail, Problem Solving, Communication, Decision Making, Time Management","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Mid-Level
Software Development,Mobile App Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Communication, Attention to Detail, Analytical Thinking, Collaboration, Problem Solving","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Mid-Level
Software Development,API Developer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Leadership, Attention to Detail, Decision Making, Teamwork, Collaboration","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Mid-Level
Software Development,Software Architect,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Communication, Adaptability, Attention to Detail, Decision Making, Time Management","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Senior
Software Development,Lead Software Engineer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Problem Solving, Adaptability, Teamwork, Time Management, Decision Making","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Senior
Software Development,Principal Engineer,"Java, Python, Git, React, Node.js, REST APIs, Agile, SQL","Leadership, Problem Solving, Communication, Attention to Detail, Decision Making","Agile, SDLC, Code Review, Deployment, OOP, Microservices","VS Code, GitHub, Jenkins, Postman, Docker",Develop a scalable web application integrating frontend and backend with CI/CD pipelines.,Senior
Data & AI,Data Analyst,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Adaptability, Analytical Thinking, Leadership, Communication, Decision Making","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,Junior Data Scientist,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Leadership, Time Management, Communication, Analytical Thinking, Teamwork","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Junior
Data & AI,Data Scientist,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Adaptability, Problem Solving, Attention to Detail, Teamwork, Decision Making","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,Machine Learning Engineer,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Problem Solving, Decision Making, Teamwork, Leadership, Time Management","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,AI Engineer,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Collaboration, Adaptability, Time Management, Attention to Detail, Decision Making","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,Deep Learning Engineer,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Collaboration, Analytical Thinking, Teamwork, Communication, Leadership","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,Data Engineer,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Problem Solving, Analytical Thinking, Decision Making, Time Management, Collaboration","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,Data Architect,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Collaboration, Decision Making, Adaptability, Problem Solving, Time Management","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Senior
Data & AI,NLP Engineer,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Teamwork, Adaptability, Time Management, Attention to Detail, Leadership","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,Computer Vision Engineer,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Analytical Thinking, Adaptability, Collaboration, Time Management, Teamwork","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,Business Intelligence Analyst,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Communication, Adaptability, Attention to Detail, Problem Solving, Leadership","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Data & AI,MLOps Engineer,"Python, Pandas, NumPy, TensorFlow, Scikit-learn, SQL, Power BI","Problem Solving, Attention to Detail, Analytical Thinking, Communication, Teamwork","Machine Learning, Data Visualization, Predictive Modeling, NLP, Deep Learning","Jupyter Notebook, Tableau, PyTorch, AWS Sagemaker, Power BI",Build an AI-driven data analytics dashboard that predicts insights from historical datasets.,Mid-Level
Cloud & DevOps,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Decision Making, Leadership, Collaboration, Teamwork, Adaptability","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Mid-Level
Cloud & DevOps,Cloud Architect,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Decision Making, Adaptability, Communication, Time Management, Attention to Detail","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Senior
Cloud & DevOps,DevOps Engineer,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Adaptability, Collaboration, Decision Making, Teamwork, Attention to Detail","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Mid-Level
Cloud & DevOps,Site Reliability Engineer,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Collaboration, Analytical Thinking, Adaptability, Decision Making, Time Management","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Mid-Level
Cloud & DevOps,Platform Engineer,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Time Management, Analytical Thinking, Decision Making, Adaptability, Problem Solving","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Mid-Level
Cloud & DevOps,Automation Specialist,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Analytical Thinking, Teamwork, Leadership, Communication, Adaptability","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Mid-Level
Cloud & DevOps,Release Manager,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Decision Making, Teamwork, Leadership, Collaboration, Attention to Detail","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Senior
Cloud & DevOps,Infrastructure Engineer,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Leadership, Adaptability, Collaboration, Teamwork, Time Management","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Mid-Level
Cloud & DevOps,Systems Reliability Engineer,"AWS, Azure, Docker, Kubernetes, Terraform, Jenkins, CI/CD","Problem Solving, Analytical Thinking, Teamwork, Collaboration, Attention to Detail","Cloud Infrastructure, Automation, Monitoring, DevOps Pipeline, Deployment","AWS Console, GitLab CI, Prometheus, Ansible, Terraform",Deploy a multi-tier cloud infrastructure with automated CI/CD pipelines for real-time monitoring.,Mid-Level
Cybersecurity,Security Analyst,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Problem Solving, Adaptability, Decision Making, Attention to Detail, Time Management","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Mid-Level
Cybersecurity,Cybersecurity Engineer,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Decision Making, Communication, Leadership, Adaptability, Time Management","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Mid-Level
Cybersecurity,Network Security Engineer,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Collaboration, Communication, Adaptability, Analytical Thinking, Time Management","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Mid-Level
Cybersecurity,Ethical Hacker,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Adaptability, Analytical Thinking, Problem Solving, Leadership, Collaboration","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Mid-Level
Cybersecurity,Penetration Tester,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Time Management, Leadership, Problem Solving, Attention to Detail, Analytical Thinking","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Mid-Level
Cybersecurity,Incident Response Analyst,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Time Management, Communication, Leadership, Problem Solving, Collaboration","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Mid-Level
Cybersecurity,Security Consultant,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Teamwork, Adaptability, Analytical Thinking, Collaboration, Leadership","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Mid-Level
Cybersecurity,Security Architect,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Adaptability, Attention to Detail, Teamwork, Collaboration, Problem Solving","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Senior
Cybersecurity,Chief Information Security Officer,"Firewalls, IDS/IPS, Ethical Hacking, Penetration Testing, Python, Security Auditing","Attention to Detail, Time Management, Adaptability, Communication, Teamwork","Network Security, Threat Analysis, Risk Management, SIEM, Incident Response","Wireshark, Metasploit, Splunk, Burp Suite, Nessus",Create a vulnerability scanner to detect security flaws in web applications.,Leadership
Networking & Systems,Network Engineer,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Attention to Detail, Problem Solving, Adaptability, Time Management, Decision Making","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Mid-Level
Networking & Systems,Network Administrator,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Teamwork, Time Management, Adaptability, Leadership, Communication","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Mid-Level
Networking & Systems,Systems Administrator,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Problem Solving, Leadership, Analytical Thinking, Adaptability, Time Management","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Mid-Level
Networking & Systems,Helpdesk Technician,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Collaboration, Decision Making, Time Management, Leadership, Teamwork","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Mid-Level
Networking & Systems,IT Support Specialist,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Teamwork, Collaboration, Leadership, Decision Making, Time Management","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Mid-Level
Networking & Systems,Desktop Support Engineer,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Leadership, Teamwork, Communication, Analytical Thinking, Decision Making","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Mid-Level
Networking & Systems,System Analyst,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Collaboration, Time Management, Decision Making, Adaptability, Leadership","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Mid-Level
Networking & Systems,Infrastructure Manager,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Attention to Detail, Analytical Thinking, Adaptability, Time Management, Decision Making","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Senior
Networking & Systems,IT Operations Manager,"TCP/IP, DNS, DHCP, Routing, Switching, Windows/Linux Administration","Decision Making, Communication, Time Management, Adaptability, Analytical Thinking","Network Maintenance, System Monitoring, Troubleshooting, IT Infrastructure","Cisco Packet Tracer, Wireshark, Nagios, SolarWinds",Design a secure enterprise network topology with optimized routing and redundancy.,Senior
Database & Infrastructure,Database Administrator,"MySQL, PostgreSQL, MongoDB, ETL, SQL Optimization, Data Warehousing","Communication, Problem Solving, Analytical Thinking, Leadership, Time Management","Database Design, Data Modeling, Query Optimization, Backup, Indexing","pgAdmin, DBeaver, SSIS, Snowflake, Oracle SQL Developer",Design a high-performance data warehouse integrating multiple data sources for analytics.,Mid-Level
Database & Infrastructure,Database Developer,"MySQL, PostgreSQL, MongoDB, ETL, SQL Optimization, Data Warehousing","Communication, Decision Making, Collaboration, Time Management, Adaptability","Database Design, Data Modeling, Query Optimization, Backup, Indexing","pgAdmin, DBeaver, SSIS, Snowflake, Oracle SQL Developer",Design a high-performance data warehouse integrating multiple data sources for analytics.,Mid-Level
Database & Infrastructure,Data Warehouse Engineer,"MySQL, PostgreSQL, MongoDB, ETL, SQL Optimization, Data Warehousing","Problem Solving, Decision Making, Leadership, Time Management, Collaboration","Database Design, Data Modeling, Query Optimization, Backup, Indexing","pgAdmin, DBeaver, SSIS, Snowflake, Oracle SQL Developer",Design a high-performance data warehouse integrating multiple data sources for analytics.,Mid-Level
Database & Infrastructure,ETL Developer,"MySQL, PostgreSQL, MongoDB, ETL, SQL Optimization, Data Warehousing","Adaptability, Leadership, Teamwork, Time Management, Analytical Thinking","Database Design, Data Modeling, Query Optimization, Backup, Indexing","pgAdmin, DBeaver, SSIS, Snowflake, Oracle SQL Developer",Design a high-performance data warehouse integrating multiple data sources for analytics.,Mid-Level
Database & Infrastructure,SQL Developer,"MySQL, PostgreSQL, MongoDB, ETL, SQL Optimization, Data Warehousing","Teamwork, Adaptability, Attention to Detail, Leadership, Decision Making","Database Design, Data Modeling, Query Optimization, Backup, Indexing","pgAdmin, DBeaver, SSIS, Snowflake, Oracle SQL Developer",Design a high-performance data warehouse integrating multiple data sources for analytics.,Mid-Level
Database & Infrastructure,NoSQL Developer,"MySQL, PostgreSQL, MongoDB, ETL, SQL Optimization, Data Warehousing","Time Management, Teamwork, Decision Making, Collaboration, Problem Solving","Database Design, Data Modeling, Query Optimization, Backup, Indexing","pgAdmin, DBeaver, SSIS, Snowflake, Oracle SQL Developer",Design a high-performance data warehouse integrating multiple data sources for analytics.,Mid-Level
Database & Infrastructure,Database Architect,"MySQL, PostgreSQL, MongoDB, ETL, SQL Optimization, Data Warehousing","Communication, Collaboration, Teamwork, Attention to Detail, Decision Making","Database Design, Data Modeling, Query Optimization, Backup, Indexing","pgAdmin, DBeaver, SSIS, Snowflake, Oracle SQL Developer",Design a high-performance data warehouse integrating multiple data sources for analytics.,Senior
UI/UX & Design,UI Designer,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Leadership, Collaboration, Problem Solving, Analytical Thinking, Communication","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
UI/UX & Design,UX Designer,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Problem Solving, Adaptability, Analytical Thinking, Leadership, Collaboration","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
UI/UX & Design,UX Researcher,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Problem Solving, Analytical Thinking, Adaptability, Collaboration, Teamwork","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
UI/UX & Design,Product Designer,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Attention to Detail, Analytical Thinking, Leadership, Communication, Teamwork","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
UI/UX & Design,Interaction Designer,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Problem Solving, Communication, Adaptability, Collaboration, Time Management","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
UI/UX & Design,UI Developer,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Decision Making, Problem Solving, Leadership, Adaptability, Teamwork","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
UI/UX & Design,Frontend Architect,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Decision Making, Analytical Thinking, Attention to Detail, Adaptability, Problem Solving","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Senior
UI/UX & Design,Visual Designer,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Collaboration, Teamwork, Communication, Decision Making, Attention to Detail","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
UI/UX & Design,Creative Technologist,"Figma, Adobe XD, HTML, CSS, JavaScript, Wireframing, Prototyping","Analytical Thinking, Problem Solving, Leadership, Collaboration, Teamwork","User Research, Wireframe Design, Accessibility, Usability Testing, Visual Design","Figma, Sketch, Adobe Illustrator, Zeplin",Design an interactive prototype for a mobile application focused on improving user retention.,Mid-Level
IT Management & Leadership,Technical Lead,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Teamwork, Problem Solving, Communication, Leadership, Adaptability","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Senior
IT Management & Leadership,Project Manager,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Adaptability, Teamwork, Leadership, Communication, Attention to Detail","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Senior
IT Management & Leadership,Program Manager,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Attention to Detail, Leadership, Decision Making, Adaptability, Analytical Thinking","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Senior
IT Management & Leadership,IT Manager,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Attention to Detail, Teamwork, Decision Making, Communication, Collaboration","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Senior
IT Management & Leadership,Scrum Master,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Time Management, Decision Making, Teamwork, Attention to Detail, Problem Solving","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Mid-Level
IT Management & Leadership,Product Manager,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Communication, Analytical Thinking, Adaptability, Decision Making, Collaboration","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Senior
IT Management & Leadership,Engineering Manager,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Decision Making, Time Management, Collaboration, Attention to Detail, Analytical Thinking","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Senior
IT Management & Leadership,Head of Engineering,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Leadership, Adaptability, Teamwork, Decision Making, Analytical Thinking","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Senior
IT Management & Leadership,VP of Technology,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Collaboration, Communication, Time Management, Analytical Thinking, Attention to Detail","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Leadership
IT Management & Leadership,CTO,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Adaptability, Collaboration, Problem Solving, Attention to Detail, Teamwork","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Leadership
IT Management & Leadership,CIO,"Agile, Jira, Risk Management, Team Leadership, SDLC, Scrum","Adaptability, Attention to Detail, Time Management, Teamwork, Collaboration","Stakeholder Management, Agile Framework, Roadmapping, Team Coordination","JIRA, Confluence, Slack, Asana, MS Teams",Lead a cross-functional team to deliver an end-to-end product within agile sprint cycles.,Leadership
